client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,Age,Cluster
C0090,1,Terry,Forbes,1982-05-27,1,9,8,0,5,0,1,44,1
C0091,1,Jacqueline,Grant,1959-11-13,0,9,8,0,4,0,2,67,1
C0092,1,Brock,Fischer,1971-05-29,1,9,20,0,3,0,2,55,1
C0093,1,Curtis,Howard,1962-09-11,1,9,8,0,2,0,0,64,1
C0094,1,Avah,Huang,1948-04-23,0,9,8,0,5,0,2,78,1
C0095,1,Frank,Meyer,1964-03-16,1,9,8,0,3,1,0,62,1
C0096,1,Darien,Dorsey,1985-12-27,1,9,8,1,3,1,2,41,0
C0097,1,Franklin,Mack,1943-06-18,1,9,50,0,5,1,2,83,1
C0098,1,Elena,Petrova,1949-06-22,0,7,42,0,3,1,0,77,1
C0099,1,Jack,Hanson,1941-12-01,1,9,8,1,4,0,2,85,0
C0100,1,Emmett,Estes,1969-06-05,1,9,8,0,3,0,2,57,1
C0101,1,Aniya,Miller,1951-03-02,0,9,25,0,3,0,2,75,1
C0102,1,Jack,Anderson,1947-02-13,1,9,8,1,5,1,2,79,0
C0103,1,Kael,Hurley,1973-12-15,1,9,11,0,3,0,2,53,1
C0104,1,Kamden,Stewart,1978-09-14,1,9,8,0,5,0,2,48,1
C0105,1,Aniyah,Ali,1959-11-03,0,9,8,1,2,1,2,67,0
C0106,1,Simon,Bennett,1953-06-09,1,9,11,0,4,0,2,73,1
C0107,1,Laurel,Benitez,1959-08-06,1,9,8,0,4,1,0,67,1
C0108,1,Trey,Strong,1958-12-20,1,9,8,0,4,0,0,68,1
C0109,1,Myah,Roman,1933-05-05,0,9,8,1,5,1,0,93,0
C0110,1,Nyla,Blake,1959-06-05,0,9,8,1,5,1,0,67,0
C0111,1,Kole,Shannon,1979-06-27,1,9,1,0,2,1,2,47,1
C0112,1,Melany,Glover,1960-10-01,0,9,8,1,1,1,0,66,0
C0113,1,Arthur,Bray,1949-07-14,1,9,48,1,4,0,0,77,0
C0114,1,Kamila,Collier,1962-01-21,0,9,8,0,1,1,2,64,1
C0115,1,Amanda,Simon,1978-12-03,0,9,8,0,5,0,0,48,1
C0116,1,Erika,Steward,1955-08-07,0,9,8,1,4,0,2,71,0
C0117,1,Jakobe,Bailey,1964-10-06,1,8,43,1,4,0,0,62,0
C0118,1,Sonia,Choi,1948-11-09,0,9,37,1,5,0,0,78,0
C0119,1,Erika,Gallagher,1942-07-19,0,9,8,0,1,1,2,84,1
C0120,1,Madeline,Michael,1953-07-30,0,9,8,0,4,1,2,73,1
C0121,1,Bennett,Chen,1950-07-18,1,9,25,0,2,0,2,76,1
C0122,1,Belinda,Hogan,1973-08-18,0,9,8,0,1,1,0,53,1
C0123,1,Johanna,Fisher,1962-08-25,0,9,8,0,4,1,2,64,1
C0124,1,Jaylen,Turner,1963-07-15,0,9,8,0,4,0,0,63,1
C0125,1,Michael,Juarez,1976-12-25,1,9,11,0,4,1,0,50,1
C0126,1,Adriana,Shaffer,1972-07-11,0,9,8,1,2,0,0,54,0
C0127,1,Julio,Leonard,1974-07-18,1,9,25,0,2,1,2,52,1
C0128,0,Abdiel,Co,1963-05-22,1,9,25,1,5,1,2,63,0
C0129,1,Warren,Pugh,1973-07-17,1,9,1,1,5,0,2,53,0
C0130,1,Luis,Crane,1959-04-20,1,9,25,0,3,1,2,67,1
C0131,1,Mohammad,Irwin,1971-12-02,1,9,8,0,1,0,2,55,1
C0132,1,Davion,Stout,1965-07-20,1,9,25,0,1,1,0,61,1
C0133,1,Logan,Simmons,1946-09-14,1,9,8,1,4,0,0,80,0
C0134,1,Kaylin,Villarreal,1932-06-13,0,7,32,1,3,0,2,94,0
C0135,1,Ruben,Melton,1939-03-05,1,9,48,1,2,0,0,87,0
C0136,1,Gianni,Fritz,1973-09-15,1,9,8,0,3,0,2,53,1
C0137,1,Emilie,Morrison,1957-10-29,0,9,8,0,3,1,2,69,1
C0138,1,Crystal,Wyatt,1939-06-30,0,9,37,1,3,1,2,87,0
C0139,1,Annabel,Robles,1969-10-14,0,9,8,0,5,1,2,57,1
C0140,1,Rachel,Cross,1952-06-18,0,9,8,0,3,0,2,74,1
C0141,1,Madalyn,Mercer,1986-06-21,0,9,8,0,5,0,2,40,1
C0142,1,Michelle,Cameron,1978-06-04,0,9,25,0,3,1,2,48,1
C0143,1,Ezra,Lozano,1958-02-24,1,9,8,0,1,0,2,68,1
C0144,1,Ramiro,Oneill,1954-09-29,1,9,8,0,4,0,0,72,1
C0145,1,Emely,Watts,1964-11-30,0,9,8,0,4,0,2,62,1
C0146,1,Hazel,Ayers,1963-02-01,1,9,11,0,2,0,2,63,1
C0147,1,Cedric,Goodwin,1948-02-20,1,9,48,0,4,0,1,78,1
C0148,1,Dayton,Hatfield,1969-04-19,1,9,11,1,4,1,0,57,0
C0149,1,Piotr,Aleksandrov,1955-12-02,1,7,21,1,3,0,0,71,0
C0150,1,Memphis,Mcconnell,1968-08-25,1,9,8,0,2,1,2,58,1
C0151,1,Arabella,Ferrell,1976-08-17,0,9,37,0,1,0,0,50,1
C0152,1,Sincere,Hansen,1967-01-19,0,9,8,1,2,1,0,59,0
C0153,1,Lara,Carrillo,1983-02-24,0,9,8,0,5,0,2,43,1
C0154,1,Valentina,Simpson,1965-01-24,0,9,8,0,4,1,0,61,1
C0155,0,Kamd,Co,1975-08-18,1,9,8,1,5,0,0,51,0
C0156,1,Case,Sanchez,1966-05-26,0,9,8,0,5,0,2,60,1
C0157,1,Van,Charles,1952-05-15,1,9,11,0,2,1,1,74,1
C0158,1,Emmy,Singh,1979-12-03,0,9,50,1,3,1,0,47,0
C0159,1,Colin,Campos,1942-04-14,1,9,8,0,3,0,2,84,1
C0160,1,Anya,Stephenson,1959-06-11,0,9,8,0,4,0,2,67,1
C0161,1,Parker,Poole,1951-11-10,1,9,8,0,5,0,2,75,1
C0162,1,Ivan,Bright,1953-09-15,1,9,8,0,4,0,2,73,1
C0163,1,Larry,Turner,1986-03-24,1,9,48,1,5,1,0,40,0
C0164,1,Matthew,Nelson,1986-09-20,1,9,1,0,5,0,2,40,1
C0165,1,Mary,Hall,1956-07-11,0,9,8,0,3,1,2,70,1
C0166,1,Carolyn,Weaver,1984-01-24,0,9,1,0,4,1,0,42,1
C0167,1,Grace,Green,1955-02-02,0,8,43,0,3,1,2,71,1
C0168,1,Pamela,Sanders,1960-06-06,0,9,25,0,3,0,0,66,1
C0169,1,Terry,Turner,1990-08-13,1,9,35,1,5,1,0,36,0
C0170,1,Jacob,Jones,1949-06-13,1,9,8,0,5,0,2,77,1
C0171,1,Julie,Sanders,1991-05-05,0,9,53,1,5,1,1,35,0
C0172,1,Catherine,Carter,1992-09-16,0,9,53,0,1,1,0,34,1
C0173,1,Amber,Wilson,1976-07-20,0,9,1,0,5,1,0,50,1
C0174,1,Rachel,Harris,1982-07-06,0,9,8,1,3,0,1,44,0
C0175,1,Brandon,Alexander,1962-04-05,1,9,53,0,5,0,0,64,1
C0176,1,Hannah,Williams,1993-06-27,0,9,8,0,2,0,2,33,1
C0177,1,Sarah,Hansen,1951-03-05,0,8,12,0,5,1,2,75,1
C0178,1,Laura,Chavez,1952-12-23,0,9,50,0,4,0,0,74,1
C0179,1,Ashley,Turner,1986-02-11,0,9,37,1,2,0,2,40,0
C0180,1,Jacob,Wilson,1943-01-28,1,9,8,0,2,1,0,83,1
C0181,1,Lawrence,Peterson,1970-04-26,1,9,47,0,2,1,2,56,1
C0182,1,Virginia,Bennett,1971-12-02,0,5,30,1,1,1,2,55,0
C0183,1,Nicholas,Green,1988-09-15,1,9,25,0,3,0,2,38,1
C0184,1,Peter,Pierce,1994-01-21,1,9,14,0,1,0,2,32,1
C0185,1,Andrea,Nelson,1945-07-02,0,9,25,0,4,1,0,81,1
C0186,1,Carol,Green,1982-04-02,0,9,50,0,1,0,2,44,1
C0187,1,Cheryl,Kim,1990-01-17,0,9,14,0,1,0,2,36,1
C0188,1,Jose,Martin,1940-10-08,1,9,37,0,5,1,2,86,1
C0189,1,Anna,Adams,1958-12-11,0,9,8,0,2,0,0,68,1
C0190,1,Karen,Johnson,1971-10-19,0,9,8,0,2,0,2,55,1
C0191,1,Sarah,Turner,1977-05-06,0,9,14,0,3,0,0,49,1
C0192,1,Margaret,Moore,1984-02-04,0,1,7,1,2,1,2,42,2
C0193,1,Sharon,Campbell,1968-08-09,0,9,8,1,4,1,2,58,0
C0194,1,Jonathan,Hall,1953-08-18,1,4,18,0,5,1,2,73,2
C0195,1,Sean,Jones,1947-06-19,1,9,8,0,2,1,2,79,1
C0196,1,Alexander,Adams,1957-04-22,1,9,25,1,5,0,0,69,0
C0197,1,Kevin,Wright,1944-07-01,1,9,50,0,4,0,1,82,1
C0198,1,Michelle,White,1976-01-28,0,9,8,0,4,0,2,50,1
C0199,1,Ryan,Brown,1958-04-13,1,9,8,0,3,0,0,68,1
C0200,1,Linda,Harris,1944-05-06,0,9,8,0,1,0,0,82,1
C0201,1,Lauren,Weaver,1968-02-13,0,9,8,0,1,0,0,58,1
C0202,1,Jack,Reyes,1996-11-11,1,2,5,0,1,0,2,30,2
C0203,1,Christine,Brooks,1956-05-18,0,9,8,0,4,0,1,70,1
C0204,1,Joyce,Pierce,1947-01-10,0,9,8,0,5,0,0,79,1
C0205,1,Kelly,Nelson,1968-08-26,0,6,39,0,1,1,0,58,1
C0206,1,Nancy,Roberts,1957-05-08,0,9,8,0,1,1,0,69,1
C0207,1,Kyle,Gray,1944-11-19,1,9,50,1,4,0,2,82,0
C0208,1,Mark,James,1986-03-26,1,4,38,0,4,1,0,40,2
C0209,1,Kyle,Moore,1949-08-22,1,9,1,1,3,0,0,77,0
C0210,1,Janice,Price,1943-03-24,0,9,11,0,2,0,2,83,1
C0211,1,Amy,Evans,1972-02-23,0,9,8,0,3,0,0,54,1
C0212,1,Jacob,Wood,1956-03-23,1,9,8,0,4,0,0,70,1
C0213,1,Jason,Gray,1976-10-23,1,9,14,1,5,0,0,50,0
C0214,1,Helen,Wood,1946-07-18,0,1,7,1,5,0,2,80,2
C0215,1,Lauren,Foster,1999-07-11,0,5,16,1,4,0,2,27,0
C0216,1,Albert,Hansen,1999-07-19,1,9,48,0,1,0,2,27,1
C0217,1,Deborah,Miller,1984-07-11,0,9,11,0,3,0,2,42,1
C0218,1,Shirley,Anderson,1970-01-24,0,9,8,0,2,0,2,56,1
C0219,1,William,Turner,1988-01-20,1,9,8,0,4,0,2,38,1
C0220,1,Walter,Phillips,1951-06-06,1,2,36,1,1,0,2,75,2
C0221,0,Atlas,Co,1987-05-14,0,9,8,0,5,0,2,39,0
C0222,1,Christopher,Stone,1956-11-08,1,9,48,1,3,0,0,70,0
C0223,1,Patrick,Hansen,1973-11-12,1,9,11,1,3,1,2,53,0
C0224,1,Nathan,Richardson,1960-08-23,1,9,11,0,5,0,2,66,1
C0225,1,Evelyn,Reyes,1948-12-19,0,9,8,0,1,1,0,78,1
C0226,1,Julia,Jordan,1958-07-11,0,9,11,0,2,0,2,68,1
C0227,1,Rachel,Evans,1944-10-23,0,9,1,0,5,1,2,82,1
C0228,1,Hannah,Owens,1952-04-23,0,9,37,1,4,0,2,74,0
C0229,1,Jose,Turner,1981-11-19,1,9,11,1,5,0,2,45,0
C0230,0,Forsyte,Co,1977-07-22,1,9,25,1,4,1,2,49,0
C0231,1,Ronald,Rogers,1993-12-18,1,3,10,1,2,1,2,33,2
C0232,1,Megan,Kim,1962-05-04,0,9,8,0,3,1,2,64,1
C0233,1,Larry,Garcia,1997-09-10,1,4,38,0,4,1,2,29,2
C0234,1,Andrea,Hughes,1979-03-02,0,9,27,0,1,1,2,47,1
C0235,1,Kenneth,Allen,1949-10-10,1,9,8,0,5,0,2,77,1
C0236,1,Gerald,Howard,1972-08-10,1,2,22,0,3,0,0,54,2
C0237,1,Jason,Nelson,1984-11-03,1,9,8,0,5,1,2,42,1
C0238,1,Amber,Patterson,1982-01-08,0,9,50,0,4,1,0,44,1
C0239,1,Megan,Baker,1973-02-18,0,9,37,0,3,1,2,53,1
C0240,1,Amber,Morales,1942-05-15,0,9,11,1,3,0,2,84,0
C0241,1,Kelly,Anderson,1962-01-14,0,6,33,0,5,1,2,64,1
C0242,1,Stephen,Peterson,1998-03-16,1,9,48,0,3,1,0,28,1
C0243,1,Nancy,Patterson,1978-07-11,0,9,48,0,2,0,2,48,1
C0244,1,Joyce,Pierce,1998-08-03,0,9,8,0,1,0,2,28,1
C0245,1,Sean,Long,1974-01-07,1,9,25,1,4,0,0,52,0
C0246,1,Stephen,Pierce,1992-05-15,1,4,28,0,1,1,0,34,2
C0247,1,Kevin,Morris,1965-01-18,1,9,8,0,1,0,2,61,1
C0248,1,Carl,Collins,1968-12-09,1,9,14,0,4,1,0,58,1
C0249,1,Stephanie,Montgomery,1968-12-05,0,9,8,1,4,0,0,58,0
C0250,1,Justin,Stewart,1947-10-19,1,8,12,0,2,0,0,79,1
C0251,1,Janice,Chavez,1976-08-11,0,9,48,0,5,0,2,50,1
C0252,1,Elizabeth,Rogers,1953-08-23,0,9,25,1,2,0,2,73,0
C0253,1,Betty,Hughes,1994-09-15,0,9,50,0,4,0,2,32,1
C0254,1,Rachel,Freeman,1956-07-21,0,9,14,0,5,0,2,70,1
C0255,1,Sara,Jones,1961-02-08,0,8,12,1,3,1,1,65,0
C0256,1,Anthony,Hughes,1990-12-10,1,9,8,0,1,1,2,36,1
C0257,1,Nicholas,Kim,1974-10-22,1,9,8,0,1,0,2,52,1
C0258,1,Carl,Murray,1991-04-15,1,8,31,0,4,1,0,35,1
C0259,1,Emma,Chavez,1990-02-15,0,9,37,0,4,0,2,36,1
C0260,1,Rebecca,Wood,1946-08-04,0,9,25,1,3,0,2,80,0
C0261,0,Celera,Co,1985-05-13,0,9,14,1,4,1,2,41,0
C0262,1,Billy,Bryant,1947-05-25,1,9,37,0,2,0,2,79,1
C0263,1,Anthony,Garcia,1981-08-02,1,9,25,1,2,1,2,45,0
C0264,1,Melissa,Baker,1992-09-12,0,9,11,0,2,1,0,34,1
C0265,0,Celera,Co,1967-04-13,1,1,13,0,1,0,2,59,2
C0266,1,Aaron,Owens,1977-02-26,1,9,8,0,5,1,0,49,1
C0267,1,Judy,Howard,1948-11-12,0,9,48,0,4,1,0,78,1
C0268,1,Danielle,Carter,1959-02-21,0,9,15,1,3,0,2,67,0
C0269,1,David,Stewart,1969-02-04,1,9,27,0,2,0,0,57,1
C0270,1,Megan,Allen,1944-07-21,0,9,14,0,5,0,2,82,1
C0271,1,Laura,Hughes,1972-04-28,0,9,8,1,3,0,0,54,0
C0272,1,Pamela,Green,1993-08-03,0,8,43,0,5,1,2,33,1
C0273,1,Paul,Morales,1987-02-27,1,3,56,1,2,0,2,39,2
C0274,1,Raymond,Young,1950-10-01,1,9,14,0,2,0,2,76,1
C0275,1,William,Thompson,2000-06-26,1,9,37,0,1,1,2,26,1
C0276,1,Gloria,Harris,1953-02-16,0,9,53,0,5,0,2,73,1
C0277,1,Jordan,Garcia,1954-11-17,1,9,11,1,1,1,0,72,0
C0278,1,Margaret,Foster,1955-08-03,0,9,8,1,2,1,2,71,0
C0279,1,Heather,Montgomery,1967-05-15,0,9,37,0,1,0,2,59,1
C0280,1,Nathan,Price,1944-04-14,1,9,14,0,4,0,1,82,1
C0281,1,Katherine,Phillips,1977-03-22,0,9,8,0,1,1,0,49,1
C0282,1,Emily,Owens,1997-10-18,0,9,8,1,1,0,2,29,0
C0283,1,Susan,Edwards,1962-05-12,0,9,1,0,2,1,0,64,1
C0284,1,Patrick,Owens,1977-02-25,1,9,1,0,4,0,1,49,1
C0285,1,Billy,Parker,1999-03-09,1,4,18,1,3,0,2,27,2
C0286,1,Noah,Brooks,1996-03-24,1,8,43,0,1,0,0,30,1
C0287,1,Joan,Bell,1990-06-10,0,0,26,0,5,0,2,36,2
C0288,1,Kevin,Freeman,1997-11-03,1,9,11,1,4,0,0,29,0
C0289,1,Laura,Hayes,1993-06-14,0,9,8,1,5,0,0,33,0
C0290,1,Ryan,Watson,1962-01-01,1,9,8,0,2,0,2,64,1
C0291,1,James,Bryant,1953-07-06,1,9,25,0,2,0,0,73,1
C0292,1,Karen,Watson,1945-12-02,0,9,8,0,1,0,0,81,1
C0293,1,Ruth,Collins,1993-07-01,0,9,8,1,4,0,2,33,0
C0294,1,Nicholas,Reyes,1963-07-17,1,9,25,0,3,1,2,63,1
C0295,1,Roger,Harris,1967-09-07,1,7,46,0,3,0,0,59,1
C0296,1,Mark,Young,1984-04-06,1,2,22,0,1,1,1,42,2
C0297,1,Julia,Murray,1972-11-19,0,8,51,1,5,0,0,54,0
C0298,1,Sarah,Patterson,1972-11-10,0,9,37,0,3,0,2,54,1
C0299,1,Barbara,Davis,1977-05-03,0,8,51,0,5,0,0,49,1
C0300,1,Zachary,Peterson,1959-04-11,1,2,0,0,5,1,2,67,2
C0301,1,Lisa,Alexander,1959-03-02,0,9,50,0,4,0,0,67,1
C0302,1,Maria,Edwards,1976-07-25,0,9,48,1,1,0,0,50,0
C0303,1,Betty,Owens,1957-07-10,0,9,50,1,5,1,2,69,0
C0304,1,Patrick,Morris,1959-12-22,1,9,8,1,1,0,0,67,0
C0305,1,Emily,Kim,1995-11-22,0,9,1,0,1,0,2,31,1
C0306,1,Samuel,Foster,1988-04-05,1,9,8,0,1,0,1,38,1
C0307,1,Samuel,Freeman,1992-10-13,1,9,8,0,5,1,1,34,1
C0308,1,Catherine,Roberts,1972-10-10,0,1,13,1,4,1,0,54,2
C0309,1,Stephanie,Cox,1957-10-15,0,9,53,0,4,0,0,69,1
C0310,1,Edward,Weaver,1992-05-02,1,8,31,0,3,0,2,34,1
C0311,1,Justin,Anderson,1952-03-09,1,9,15,0,2,0,2,74,1
C0312,1,Zachary,Cooper,1941-01-14,1,9,25,0,3,1,2,85,1
C0313,0,Stratos,Co,1974-04-12,1,9,8,0,1,0,0,52,0
C0314,1,Andrew,Jones,1982-08-23,1,9,53,1,4,0,0,44,0
C0315,1,Michael,Phillips,1987-03-18,1,6,2,1,5,0,2,39,0
C0316,1,Brandon,Martin,1997-04-14,1,8,43,1,4,1,2,29,0
C0317,1,Amber,Hansen,1999-11-17,0,9,8,1,2,1,2,27,0
C0318,1,Amy,Peterson,1974-03-22,0,5,4,0,5,0,2,52,2
C0319,0,Zynex,Co,1995-11-12,0,9,47,0,5,1,2,31,0
C0320,1,Tyler,Cox,1984-12-01,1,9,47,0,3,1,1,42,1
C0321,1,Jesse,Cook,1992-01-12,1,9,8,1,2,0,0,34,0
C0322,1,Deborah,Moore,1996-12-25,0,9,8,0,2,1,2,30,1
C0323,1,Samantha,Hayes,1975-09-16,0,9,8,1,2,1,2,51,0
C0324,1,Raymond,Parker,1993-06-14,1,9,53,0,4,0,2,33,1
C0325,1,Maria,Flores,1983-02-24,0,9,8,0,5,1,0,43,1
C0326,1,Daniel,Reed,1958-05-10,1,9,37,1,4,1,0,68,0
C0327,1,Elizabeth,Ward,1961-07-09,0,8,43,0,1,0,0,65,1
C0328,1,William,Young,1946-10-22,1,9,8,0,1,1,1,80,1
C0329,1,Diane,Morales,1998-10-05,0,5,17,0,3,0,0,28,2
C0330,1,Christian,Richardson,1975-06-21,1,9,8,0,1,0,2,51,1
C0331,1,Ann,Martin,1984-05-23,0,9,8,1,3,0,0,42,0
C0332,1,Christopher,Price,1989-12-15,1,9,47,1,3,0,2,37,0
C0333,1,Helen,Hall,1955-12-23,0,8,51,0,3,0,2,71,1
C0334,1,Andrew,Roberts,1950-08-01,1,9,1,1,3,0,0,76,0
C0335,1,Charles,Morris,1975-12-24,1,9,1,0,4,0,2,51,1
C0336,1,Karen,Price,1971-11-17,0,9,8,1,5,0,0,55,0
C0337,1,Nathan,Alexander,1942-01-27,1,9,1,0,3,1,2,84,1
C0338,1,Patrick,Flores,1943-05-28,1,9,8,0,5,1,2,83,1
C0339,1,Keith,King,1963-10-05,1,9,48,1,5,0,0,63,0
C0340,1,Daniel,Garcia,1940-11-25,1,9,8,1,2,0,0,86,0
C0341,1,Carl,Chavez,1982-11-10,1,9,8,1,4,0,0,44,0
C0342,1,Kevin,Hughes,1974-08-15,1,9,8,1,2,0,1,52,0
C0343,1,Joyce,Thompson,1952-06-17,0,9,8,0,2,0,2,74,1
C0344,1,Joshua,Jackson,1997-05-13,1,2,5,0,2,1,2,29,2
